row_s,col_s,row_e,col_e,duration,timestamp,car,distance
8,6,6,6,2062.69000006,1399434669.04,286/ET928WT,3606.99592846
8,3,6,3,551.49000001,1399436282.37,028/ET670WT,4271.99438842
6,6,6,6,490.069999933,1399436731.73,414/EV632NT,1237.20562364
8,3,6,5,1388.8599999,1399435853.42,347/EV533NT,5469.32455468
4,2,3,5,2123.9599998,1399435342.91,308/EV492NT,5506.63986188
7,2,6,5,2246.53999996,1399435342.91,083/ET725WT,5806.85469301
6,6,6,4,2593.94000006,1399435261.25,280/ET922WT,2928.79220993
6,2,7,4,1573.01999998,1399436629.65,035/ET677WT,4136.33017894
3,3,3,4,490.430000067,1399437773.49,212/ET854WT,886.643151054
5,2,8,4,1695.55999994,1399436629.65,142/ET784WT,5361.19863456
8,6,7,6,1409.75,1399437119.69,431/EV649NT,1131.2246692
6,0,7,1,633.140000105,1399438059.79,401/EV620NT,1705.43828073
6,2,6,6,1940.87000012,1399436833.86,119/ET761WT,5893.22253256
7,4,5,5,1573.30999994,1399437303.5,202/ET844WT,3152.27708408
4,5,4,5,674.180000067,1399438284.34,436/EV654NT,1489.96366621
4,5,6,5,1798.03999996,1399437303.5,097/ET739WT,3446.19081199
4,6,4,6,510.880000114,1399438733.75,090/ET732WT,1083.35040049
7,7,6,6,1736.61000013,1399437896.02,422/EV640NT,3222.1019173
3,2,5,4,2167.32999992,1399437671.4,033/ET675WT,4775.35273956
8,6,6,6,1881.03999996,1399438059.79,471/EV308TP,3463.76238787
3,5,4,5,1602.06999993,1399439224.2,360/EV579NT,1498.0673561
8,6,7,6,1013.42000008,1399439838.73,293/ET935WT,2720.85157842
4,5,1,2,2406.28999996,1399438509.04,126/ET768WT,8799.31573654
7,6,6,6,1364.40999985,1399439550.92,102/ET744WT,1650.9103415
7,7,7,5,790.700000048,1399440226.77,399/EV618NT,3029.15608803
4,6,5,7,974.549999952,1399440104.19,408/EV298TP,1551.14999722
7,3,4,3,1813.79999995,1399439326.28,208/ET850WT,6847.12950614
3,4,3,4,438.049999952,1399440743.07,418/EV636NT,14.8255057477
5,3,6,4,1425.04999995,1399439961.25,268/ET910WT,1648.01037529
7,6,7,4,1876.30999994,1399439591.77,317/EV509NT,2504.47922051
6,7,1,2,2468.6400001,1399439019.85,147/ET789WT,11869.9578394
3,5,1,3,1670.14999986,1399439859.17,272/ET914WT,5078.44624736
3,2,7,2,1608.89999986,1399439920.42,242/ET884WT,7808.96845812
6,2,6,2,2509.37999988,1399439142.43,153/ET795WT,1032.38913476
4,7,4,3,2713.73000002,1399438938.08,312/EV497NT,5766.086669
7,2,6,2,1133.61000013,1399440600.11,233/ET875WT,2170.54679853
5,2,4,4,3163.5,1399438590.7,480/EV317TP,4204.47014007
6,6,7,6,593.75999999,1399441221.95,305/EV489NT,1323.52592456
7,6,6,5,1113.5,1399440783.9,350/EV534NT,3657.99059732
7,4,5,4,1445.92000008,1399440492.85,351/EV570NT,3195.38835908
7,1,6,3,1166.79999995,1399440894.88,101/ET743WT,2946.81522142
7,3,6,5,1255.81999993,1399440826.27,062/ET704WT,4491.50583563
6,4,6,6,1543.1500001,1399440681.82,280/ET922WT,2701.96475471
7,2,6,4,1309.68999982,1399440956.14,468/EV305TP,4730.2338233
7,7,6,5,3389.12000012,1399438958.52,306/EV495NT,3513.01422513
4,6,2,4,3143.86000013,1399439203.78,201/ET843WT,5878.11861779
6,0,6,0,716.019999981,1399441733.72,476/EV313TP,1561.46918554
8,7,7,7,961.25,1399441508.92,469/EV306TP,105.150481943
2,4,2,5,552.089999914,1399441938.77,022/ET664WT,775.756792734
6,8,6,5,2836.43000007,1399439900.01,162/ET804WT,3910.7742832
5,5,5,4,1002.72000003,1399441733.72,477/EV314TP,1593.08995814
6,5,6,3,2897.96000004,1399439961.25,047/ET689WT,3011.52918762
4,4,7,4,2259.10000014,1399440600.11,265/ET907WT,6098.61770755
7,4,7,5,2448.04999995,1399440411.16,215/ET857WT,1011.65300059
8,4,7,3,3020.53999996,1399439940.83,465/EV302TP,2435.14313794
5,6,6,6,1984.76999998,1399441037.89,031/ET673WT,2822.06315408
8,4,6,3,899.869999886,1399442163.72,142/ET784WT,3505.76572158
3,4,4,4,572.269999981,1399442593.44,418/EV636NT,878.203824404
5,5,6,3,2025.61999989,1399441160.49,202/ET844WT,3430.25876021
4,6,2,3,1758.86000013,1399441468.08,457/EV674NT,6120.33479303
3,4,3,5,756.180000067,1399442613.85,212/ET854WT,1551.032064
7,6,5,5,2434.32999992,1399440956.13,293/ET935WT,3392.19680761
7,6,5,5,3593.11999989,1399439838.73,287/ET929WT,4438.95635127
5,5,5,5,1841.06999993,1399441672.46,390/EV609NT,1493.61159099
7,2,6,5,2106.81999993,1399441406.71,478/EV315TP,5549.15587322
6,1,6,3,1616.16000009,1399441917.82,387/EV606NT,3715.19062593
8,3,6,4,2516.52999997,1399441058.3,342/EV525NT,4853.23866012
7,6,7,6,388.619999886,1399443247.46,305/EV489NT,953.707922055
7,7,8,7,1370.25,1399442265.83,453/EV670NT,691.890090752
3,4,6,4,2454.95000005,1399441221.95,146/ET788WT,5020.00331038
6,5,6,5,592.860000134,1399443084.04,306/EV495NT,744.482617916
8,3,6,4,2850.63000011,1399440826.27,115/ET757WT,5120.89836325
7,6,6,5,1062.98000002,1399442675.18,206/ET848WT,2515.19672866
7,6,7,5,960.880000114,1399442777.28,384/EV603NT,1742.70503079
4,2,6,4,1902.57999992,1399441897.4,160/ET802WT,3857.27317806
8,3,5,5,2434.28999996,1399441508.92,252/ET894WT,5627.39281586
7,6,6,7,1840.75999999,1399442143.32,190/ET832WT,2806.43441471
5,4,4,4,2250.24000001,1399441795.11,110/ET752WT,2036.32827909
6,4,6,2,3343.11999989,1399440702.23,049/ET691WT,2965.72186258
6,3,6,5,2127.52999997,1399441917.82,028/ET670WT,2950.78482332
8,3,6,5,2127.52999997,1399441917.82,424/EV642NT,4784.76797549
3,4,5,4,1411.32000017,1399442695.6,100/ET742WT,5187.19175147
6,3,7,3,716.160000086,1399443431.85,101/ET743WT,1616.33535536
7,6,7,5,634.559999943,1399443533.98,489/EV325TP,2061.90293321
4,6,4,5,839.410000086,1399443431.85,483/EV320TP,1142.1385785
7,3,6,6,2005.33999991,1399442306.76,179/ET821WT,5815.0376853
6,2,6,2,676.25999999,1399443656.49,385/EV604NT,547.408755078
4,3,4,5,2189.43000007,1399442143.32,467/EV304TP,1868.14445378
8,3,6,3,2558.20000005,1399441836.12,048/ET690WT,3415.01559064
7,1,6,2,3901.48000002,1399440492.85,484/EV321TP,2747.22894922
7,6,6,6,1616.93000007,1399442838.73,104/ET746WT,2775.61758259
4,2,6,8,4146.67000008,1399440308.99,371/EV590NT,9517.88087574
4,6,4,7,676.119999886,1399443820.46,070/ET712WT,1561.61057553
5,4,6,3,2353.25999999,1399442143.32,033/ET675WT,2511.55961978
6,3,7,2,1433.48000002,1399443145.29,142/ET784WT,3551.62131768
8,7,8,6,1372.62999988,1399443247.46,185/ET827WT,732.137733815
7,2,6,5,2702.26999998,1399441917.82,364/EV583NT,5876.75830781
1,5,1,5,1229.28000021,1399443431.85,151/ET793WT,165.139254174
5,2,5,2,984.410000086,1399443717.76,394/EV613NT,342.053839162
6,6,4,4,3417.92000008,1399441284.25,414/EV632NT,6667.11935408
2,3,6,4,3807.37999988,1399440956.13,300/ET942WT,10443.6809305
7,5,5,4,2661.00999999,1399442102.5,125/ET767WT,5305.73963417
3,2,5,4,1822.55999994,1399442940.95,254/ET896WT,4390.41240548
5,2,4,2,1045.75,1399443717.76,294/ET936WT,3463.66993343
1,4,1,4,3296.21000004,1399441590.58,006/ET648WT,1037.44680188
6,5,7,3,3153.12000012,1399441795.11,347/EV533NT,4860.61718759
6,4,6,6,1147.92000008,1399443861.56,146/ET788WT,2310.67888648
6,2,4,2,779.090000153,1399444250.84,295/ET937WT,3998.38950626
5,2,6,5,1700.76000023,1399443349.62,237/ET879WT,4748.00736625
7,3,2,4,3561.9000001,1399441549.74,138/ET780WT,10131.1908413
4,3,6,5,2252.4000001,1399442981.8,289/ET931WT,3932.42791287
4,3,5,4,1168.28999996,1399444065.91,143/ET785WT,1927.77804111
3,5,5,4,3192.94000006,1399442082.09,113/ET755WT,4858.77572425
5,5,5,5,1495.48000002,1399443779.55,287/ET929WT,496.452901421
2,4,4,2,1126.83999991,1399444209.69,204/ET846WT,5299.03953567
7,5,7,4,1904.68000007,1399443431.85,399/EV618NT,2063.8726847
7,2,4,3,5928.69000006,1399439448.77,173/ET815WT,5557.47036042
5,5,6,5,613.890000105,1399444784.07,252/ET894WT,1241.9561539
6,5,6,5,2559.04999995,1399442981.8,062/ET704WT,1336.91716926
7,6,7,2,3275.02999997,1399442286.25,334/EV504NT,6266.4585088
4,4,5,4,510.920000076,1399445132.05,110/ET752WT,1216.62851073
6,2,6,3,1125.30999994,1399444599.4,121/ET763WT,1750.874731
6,4,7,4,2088.62999988,1399443656.49,268/ET910WT,2593.97724406
5,2,5,2,367.789999962,1399445438.8,394/EV613NT,391.858323753
6,6,6,3,2559.01999998,1399443370.03,280/ET922WT,3977.27615932
6,4,2,3,2497.20000005,1399443431.85,468/EV305TP,8968.17758366
7,1,7,1,551.829999924,1399445418.38,193/ET835WT,854.248182556
5,5,4,7,5075.33999991,1399440956.13,052/ET694WT,3807.28810184
4,3,6,4,2517.91000009,1399443533.98,065/ET707WT,3892.97302234
4,4,4,2,1062.82999992,1399445009.48,432/EV650NT,2939.85872845
5,4,6,4,695.029999971,1399445418.38,351/EV570NT,1091.22899211
5,6,6,6,2538.61999989,1399443615.65,279/ET921WT,2570.0281308
7,2,7,3,1001.82000017,1399445193.34,242/ET884WT,1404.04921386
7,4,6,2,2292.76999998,1399443943.21,105/ET747WT,3936.66240342
2,3,1,2,2128.78999996,1399444148.01,068/ET710WT,1015.35192878
7,7,3,5,4727.05000019,1399441590.58,250/ET892WT,10278.639021
4,4,4,5,1656.31999993,1399444702.17,109/ET751WT,949.287255029
6,2,7,2,2251.52999997,1399444127.38,283/ET925WT,2270.0214567
5,7,6,5,1758.49000001,1399444681.74,077/ET719WT,4015.09278422
5,7,5,7,306.699999809,1399446195.16,088/ET730WT,70.8709007552
6,6,4,5,3213.50999999,1399443288.36,422/EV640NT,4360.51098508
4,2,6,5,3193.21000004,1399443349.62,266/ET908WT,6546.44869908
6,2,5,2,756.669999838,1399445786.16,470/EV307TP,1653.43964589
6,3,6,6,2538.30999994,1399444024.93,054/ET696WT,4559.44529198
1,3,6,5,4092.83999991,1399442531.7,272/ET914WT,10779.087006
6,6,6,8,633.920000076,1399446011.06,471/EV308TP,1680.67257126
